year,title,authors_short,all_authors,journal,doi,openalex_id
2014,High-Resolution Fourier Transform Ion Cyclotron Resonance Mass Spectrometry with Increased Throughput for Biomolecular Analysis,"Konstantin O. Nagornov, Mikhail V. Gorshkov, Anton N. Kozhinov et al. (n=4)",Konstantin O. Nagornov; Mikhail V. Gorshkov; Anton N. Kozhinov; Yury O. Tsybin,Analytical Chemistry,https://doi.org/10.1021/ac501579h,https://openalex.org/W1993066071
2014,Structural Analysis of an Intact Monoclonal Antibody by Online Electrochemical Reduction of Disulfide Bonds and Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,"Simone Nicolardi, André M. Deelder, Magnus Palmblad et al. (n=4)",Simone Nicolardi; André M. Deelder; Magnus Palmblad; Yuri E. M. van der Burgt,Analytical Chemistry,https://doi.org/10.1021/ac500383c,https://openalex.org/W2330379985
2014,Sheathless Capillary Electrophoresis-Tandem Mass Spectrometry for Top-Down Characterization of <i>Pyrococcus furiosus</i> Proteins on a Proteome Scale,"Xuemei Han, Yueju Wang, Aaron Aslanian et al. (n=6)",Xuemei Han; Yueju Wang; Aaron Aslanian; Marshall Bern; Mathieu Lavallée‐Adam; John R. Yates,Analytical Chemistry,https://doi.org/10.1021/ac503439n,https://openalex.org/W2323269825
2014,Hybridizing Ultraviolet Photodissociation with Electron Transfer Dissociation for Intact Protein Characterization,"Joe R. Cannon, Dustin D. Holden, Jennifer S. Brodbelt",Joe R. Cannon; Dustin D. Holden; Jennifer S. Brodbelt,Analytical Chemistry,https://doi.org/10.1021/ac5036082,https://openalex.org/W2313956144
2014,HIGH RESOLUTION MASS SPECTROMETRIC STRATEGIES IN DRUG DISCOVERY FOR THE INVESTIGATION OF COVALENT AND NON-COVALENT INTERACTIONS,Danilo De Maddis,Danilo De Maddis,Archivio Istituzionale della Ricerca (Universita Degli Studi Di Milano),https://doi.org/10.13130/de-maddis-danilo_phd2014-02-25,https://openalex.org/W999568285
2014,Abstract 355: Post-translational Modification of Histone Variants in Cardiac Hypertrophy,"MickeyMiller, AmanMakaju, LiWang et al. (n=4)",MickeyMiller; AmanMakaju; LiWang; SarahFranklin,Circulation Research,,https://openalex.org/W2885688046
2014,Abstract 355: Post-translational Modification of Histone Variants in Cardiac Hypertrophy,"Mickey Miller, Aman Makaju, Li Wang et al. (n=4)",Mickey Miller; Aman Makaju; Li Wang; Sarah Franklin,Circulation Research,https://doi.org/10.1161/res.115.suppl_1.355,https://openalex.org/W2404169938
2014,MS-based quantitative proteomics for molecular cancer diagnostics,Sally J. Deeb,Sally J. Deeb,Electronic Theses of LMU Munich (Ludwig-Maximilians-Universität München),https://doi.org/10.5282/edoc.20546,https://openalex.org/W2589747681
2014,Study of the post-translational modifications of histone H4 by Fourier transform ion cyclotron resonance mass spectrometry.,Muhammed Karim,Muhammed Karim,ERA,,https://openalex.org/W830667580
2014,ESPP Functional Genomics and Imaging Core: Cell wide analysis of Metal-Reducing Bacteria,Aindrila Mukhopadhyay,Aindrila Mukhopadhyay,eScholarship (California Digital Library),,https://openalex.org/W84991264
2014,An integrated proteo-bioinformatics approach to gain insights in the pathophysiology of varicocele associated male infertility,"Ashok Agarwal, Rakesh Sharma, Damayanthi Durairajanayagam et al. (n=9)",Ashok Agarwal; Rakesh Sharma; Damayanthi Durairajanayagam; Zhihong Cui; Ahmet Ayaz; Sajal Gupta; Belinda Willard; Banu Gopalan; Edmund Sabanegh,Fertility and Sterility,https://doi.org/10.1016/j.fertnstert.2014.07.667,https://openalex.org/W2038451179
2014,Functional proteomic analysis of sperm proteins in infertile men with unilateral varicocele,"Ashok Agarwal, Rakesh Sharma, Damayanthi Durairajanayagam et al. (n=9)",Ashok Agarwal; Rakesh Sharma; Damayanthi Durairajanayagam; Zhihong Cui; Ahmet Ayaz; Sajal Gupta; Belinda Willard; Banu Gopalan; Edmund Sabanegh,Fertility and Sterility,https://doi.org/10.1016/j.fertnstert.2014.07.632,https://openalex.org/W2104188814
2014,Increasing fragmentation of disulfide-bonded proteins for top–down mass spectrometry by supercharging,"Jiang Zhang, Rachel R. Ogorzalek Loo, Joseph A. Loo",Jiang Zhang; Rachel R. Ogorzalek Loo; Joseph A. Loo,International Journal of Mass Spectrometry,https://doi.org/10.1016/j.ijms.2014.07.047,https://openalex.org/W1965748028
2014,Enhanced Fourier transform for Orbitrap mass spectrometry,"Oliver Lange, Eugen Damoc, Andreas Wieghaus et al. (n=4)",Oliver Lange; Eugen Damoc; Andreas Wieghaus; Alexander Makarov,International Journal of Mass Spectrometry,https://doi.org/10.1016/j.ijms.2014.05.019,https://openalex.org/W2090910993
2014,Protein derivatization and sequential ion/ion reactions to enhance sequence coverage produced by electron transfer dissociation mass spectrometry,"Lissa C. Anderson, A. Michelle English, Weihan Wang et al. (n=6)",Lissa C. Anderson; A. Michelle English; Weihan Wang; Dina L. Bai; Jeffrey Shabanowitz; Donald F. Hunt,International Journal of Mass Spectrometry,https://doi.org/10.1016/j.ijms.2014.06.023,https://openalex.org/W2048083804
2014,Reprint of “Enhanced Fourier transform for Orbitrap mass spectrometry”,"Oliver Lange, Eugen Damoc, Andreas Wieghaus et al. (n=4)",Oliver Lange; Eugen Damoc; Andreas Wieghaus; Alexander Makarov,International Journal of Mass Spectrometry,https://doi.org/10.1016/j.ijms.2014.07.040,https://openalex.org/W2068641894
2014,Direct determination of the binding sites of cisplatin on insulin-like growth factor-1 by top-down mass spectrometry,"Ningbo Zhang, Huan Liu, Meng Cui et al. (n=6)",Ningbo Zhang; Huan Liu; Meng Cui; Yonggang Du; Zhiqiang Liu; Shuying Liu,JBIC Journal of Biological Inorganic Chemistry,https://doi.org/10.1007/s00775-014-1202-x,https://openalex.org/W2014294917
2014,Quantification of intact covalently metal labeled proteins using ESI‐MS/MS,"David Benda, Gunnar Schwarz, Sebastian Beck et al. (n=4)",David Benda; Gunnar Schwarz; Sebastian Beck; Michael Linscheid,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.3302,https://openalex.org/W1592663926
2014,In-Line Separation by Capillary Electrophoresis Prior to Analysis by Top-Down Mass Spectrometry Enables Sensitive Characterization of Protein Complexes,"Xuemei Han, Yueju Wang, Aaron Aslanian et al. (n=7)",Xuemei Han; Yueju Wang; Aaron Aslanian; Bryan R. Fonslow; Beth Graczyk; Trisha N. Davis; John R. Yates,Journal of Proteome Research,https://doi.org/10.1021/pr500971h,https://openalex.org/W2323293250
2014,Rapid and Deep Proteomes by Faster Sequencing on a Benchtop Quadrupole Ultra-High-Field Orbitrap Mass Spectrometer,"Christian D. Kelstrup, Rosa Jersie-Christensen, Tanveer S. Batth et al. (n=7)",Christian D. Kelstrup; Rosa Jersie-Christensen; Tanveer S. Batth; Tabiwang N. Arrey; Andreas Kuehn; Markus Kellmann; Jesper V. Olsen,Journal of Proteome Research,https://doi.org/10.1021/pr500985w,https://openalex.org/W2090836206
2014,High Resolution Is Not a Strict Requirement for Characterization and Quantification of Histone Post-Translational Modifications,"Kelly R. Karch, Barry M. Zee, Benjamin A. García",Kelly R. Karch; Barry M. Zee; Benjamin A. García,Journal of Proteome Research,https://doi.org/10.1021/pr500902f,https://openalex.org/W2316960810
2014,Comparative Proteomic Analysis of Histone Post-translational Modifications upon Ischemia/Reperfusion-Induced Retinal Injury,"Xiaolu Zhao, Simone Sidoli, Leilei Wang et al. (n=7)",Xiaolu Zhao; Simone Sidoli; Leilei Wang; Wenjun Wang; Lin Guo; Ole N. Jensen; Ling Zheng,Journal of Proteome Research,https://doi.org/10.1021/pr500040a,https://openalex.org/W2330639239
2014,Proteomic Study of Pilocytic Astrocytoma Pediatric Brain Tumor Intracystic Fluid,"Ilaria Inserra, Federica Iavarone, Claudia Martelli et al. (n=13)",Ilaria Inserra; Federica Iavarone; Claudia Martelli; Luca D’Angelo; Daniela Delfino; Diana Valeria Rossetti; Gianpiero Tamburrini; Luca Massimi; Massimo Caldarelli; Concezio Di Rocco; Irene Messana; Massimo Castagnola; Claudia Desiderio,Journal of Proteome Research,https://doi.org/10.1021/pr500806k,https://openalex.org/W2038927284
2014,Ser/Thr/Tyr phosphoproteome characterization of Acinetobacter baumannii: Comparison between a reference strain and a highly invasive multidrug-resistant clinical isolate,"Nelson C. Soares, Philipp Spät, Jose A. Méndez et al. (n=6)",Nelson C. Soares; Philipp Spät; Jose A. Méndez; Kehilwe C. Nakedi; Jesús Aranda; Germán Bou,Journal of Proteomics,https://doi.org/10.1016/j.jprot.2014.03.009,https://openalex.org/W2089199408
2014,Top-Down Analysis of Highly Post-Translationally Modified Peptides by Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,"Andrés Guerrero, Larry Lerno, Daniela Barile et al. (n=4)",Andrés Guerrero; Larry Lerno; Daniela Barile; Carlito B. Lebrilla,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1007/s13361-014-1034-5,https://openalex.org/W2052396056
2014,Study of an Unusual Advanced Glycation End-Product (AGE) Derived from Glyoxal Using Mass Spectrometry,"Andrea F. Lopez‐Clavijo, Carlos Duque-Daza, Isolda Romero‐Canelón et al. (n=8)",Andrea F. Lopez‐Clavijo; Carlos Duque-Daza; Isolda Romero‐Canelón; Mark P. Barrow; David P. A. Kilgour; Naila Rabbani; Paul J. Thornalley; Peter B. O’Connor,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1007/s13361-013-0799-2,https://openalex.org/W2021818151
2014,Characteristic Tandem Mass Spectral Features Under Various Collision Chemistries for Site-Specific Identification of Protein S-Glutathionylation,"Chi‐Chi Chou, Bing‐Yu Chiang, Jason Lin et al. (n=6)",Chi‐Chi Chou; Bing‐Yu Chiang; Jason Lin; Kuan‐Ting Pan; Chun‐Hung Lin; Kay‐Hooi Khoo,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1007/s13361-014-1014-9,https://openalex.org/W2033202598
2014,Top-Down Proteomics by Means of Orbitrap Mass Spectrometry,Kai Scheffler,Kai Scheffler,Methods in molecular biology,https://doi.org/10.1007/978-1-4939-0685-7_31,https://openalex.org/W2283555345
2014,SILAC-Based Temporal Phosphoproteomics,"Chiara Francavilla, Omid Hekmat, Blagoy Blagoev et al. (n=4)",Chiara Francavilla; Omid Hekmat; Blagoy Blagoev; Jesper V. Olsen,Methods in molecular biology,https://doi.org/10.1007/978-1-4939-1142-4_10,https://openalex.org/W2257927092
2014,Glycoproteomic Analysis of Seven Major Allergenic Proteins Reveals Novel Post-translational Modifications,"Adnan Halim, Michael C. Carlsson, Caroline B. Madsen et al. (n=12)",Adnan Halim; Michael C. Carlsson; Caroline B. Madsen; Stéphanie Brand; Svenning Rune Møller; Carl Erik Olsen; Sergey Y. Vakhrushev; Jens Brimnes; Peter Adler Würtzen; Henrik Ipsen; Bent Larsen Petersen; Hans H. Wandall,Molecular & Cellular Proteomics,https://doi.org/10.1074/mcp.m114.042614,https://openalex.org/W2124808047
2014,Program,,,Molecular & Cellular Proteomics,https://doi.org/10.1016/s1535-9476(20)32479-8,https://openalex.org/W4247421774
2014,Quantitative analysis of human salivary gland‐derived intact proteome using top‐down mass spectrometry,"Si Wu, Joseph N. Brown, Nikola Tolić et al. (n=11)",Si Wu; Joseph N. Brown; Nikola Tolić; Da Meng; Xiaowen Liu; Haizhen Zhang; Rui Zhao; Ronald Moore; Pavel A. Pevzner; Richard Smith; Ljiljana Paša‐Tolić,PROTEOMICS,https://doi.org/10.1002/pmic.201300378,https://openalex.org/W1978639305
2014,Top‐down protein identification of proteasome proteins with nanoLC‐FT‐ICR‐MS employing data‐independent fragmentation methods,"Rajeswari Lakshmanan, Jeremy J. Wolff, Rudy Alvarado et al. (n=4)",Rajeswari Lakshmanan; Jeremy J. Wolff; Rudy Alvarado; Joseph A. Loo,PROTEOMICS,https://doi.org/10.1002/pmic.201300339,https://openalex.org/W1997240024
2014,Proteomics in Chromatin Biology and Epigenetics,"Thomas M. Vondriska, Ole N. Jensen",Thomas M. Vondriska; Ole N. Jensen,PROTEOMICS,https://doi.org/10.1002/pmic.201470143,https://openalex.org/W2009189230
2014,Proteomic integrated platforms for the comparative characterization of medulloblastoma and pilocytic astrocytoma pediatric brain tumors,"Cristina Martelli, Maria Teresa Sanna, M. Arba et al. (n=12)",Cristina Martelli; Maria Teresa Sanna; M. Arba; Irene Messana; Federica Iavarone; Massimo Castagnola; Luca D’Angelo; M. Caretto; Giampiero Tamburrini; Concezio Di Rocco; Mario Caldarelli; Claudia Desiderio,UNICA IRIS Institutional Research Information System (University of Cagliari),,https://openalex.org/W2556024419
2014,Advanced applications of high performance Fourier transform ion cyclotron resonance mass spectrometry,Juan Wei,Juan Wei,Warwick Research Archive Portal (University of Warwick),,https://openalex.org/W2166667814
2015,Decision letter: Local chromatin environment of a Polycomb target gene instructs its own epigenetic inheritance,,,,https://doi.org/10.7554/elife.07205.015,https://openalex.org/W4237674297
2015,Post-polymerization photografting on methacrylate-based monoliths for separation of intact proteins and protein digests with comprehensive two-dimensional liquid chromatography hyphenated with high-resolution mass spectrometry,"Rudy J. Vonk, Sam Wouters, Andrei Barcaru et al. (n=7)",Rudy J. Vonk; Sam Wouters; Andrei Barcaru; Gabriel Vivó‐Truyols; Sebastiaan Eeltink; Leo J. de Koning; Peter J. Schoenmakers,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-015-8615-4,https://openalex.org/W1987830223
2015,Top-Down MALDI-In-Source Decay-FTICR Mass Spectrometry of Isotopically Resolved Proteins,"Simone Nicolardi, Linda Switzar, André M. Deelder et al. (n=5)",Simone Nicolardi; Linda Switzar; André M. Deelder; Magnus Palmblad; Yuri E. M. van der Burgt,Analytical Chemistry,https://doi.org/10.1021/ac504708y,https://openalex.org/W2013056768
2015,Benchmarking Multiple Fragmentation Methods on an Orbitrap Fusion for Top-down Phospho-Proteoform Characterization,"Andrea M. Brunner, Philip Lössl, Fan Liu et al. (n=10)",Andrea M. Brunner; Philip Lössl; Fan Liu; Romain Huguet; Christopher Mullen; Masami Yamashita; Vlad Zabrouskov; Alexander Makarov; Maarten Altelaar; Albert J. R. Heck,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5b00162,https://openalex.org/W2170177203
2015,Coupling Capillary Zone Electrophoresis with Electron Transfer Dissociation and Activated Ion Electron Transfer Dissociation for Top-Down Proteomics,"Yimeng Zhao, Nicholas M. Riley, Liangliang Sun et al. (n=13)",Yimeng Zhao; Nicholas M. Riley; Liangliang Sun; Alexander S. Hebert; Xiaojing Yan; Michael S. Westphall; Matthew J. P. Rush; Guijie Zhu; Matthew M. Champion; Felix Mba Medie; Patricia A. Champion; Joshua J. Coon; Norman J. Dovic̀hi,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5b00883,https://openalex.org/W2045261439
2015,Fast Comparative Structural Characterization of Intact Therapeutic Antibodies Using Hydrogen–Deuterium Exchange and Electron Transfer Dissociation,"Jingxi Pan, Suping Zhang, Albert Chou et al. (n=5)",Jingxi Pan; Suping Zhang; Albert Chou; Darryl B. Hardie; Christoph H. Borchers,Analytical Chemistry,https://doi.org/10.1021/ac504809r,https://openalex.org/W2029872563
2015,Activated Ion Electron Transfer Dissociation for Improved Fragmentation of Intact Proteins,"Nicholas M. Riley, Michael S. Westphall, Joshua J. Coon",Nicholas M. Riley; Michael S. Westphall; Joshua J. Coon,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5b00881,https://openalex.org/W2419323450
2015,Pepsin-Containing Membranes for Controlled Monoclonal Antibody Digestion Prior to Mass Spectrometry Analysis,"Yongle Pang, Weihan Wang, Gavin E. Reid et al. (n=5)",Yongle Pang; Weihan Wang; Gavin E. Reid; Donald F. Hunt; Merlin L. Bruening,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5b02739,https://openalex.org/W2300897843
2015,Low Resolution Data-Independent Acquisition in an LTQ-Orbitrap Allows for Simplified and Fully Untargeted Analysis of Histone Modifications,"Simone Sidoli, Johayra Simithy, Kelly R. Karch et al. (n=5)",Simone Sidoli; Johayra Simithy; Kelly R. Karch; Katarzyna Kulej; Benjamin A. García,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5b03009,https://openalex.org/W1888005862
2015,High Resolution CZE-MS Quantitative Characterization of Intact Biopharmaceutical Proteins: Proteoforms of Interferon-β1,"David R. Bush, Li Zang, Arseniy M. Belov et al. (n=5)",David R. Bush; Li Zang; Arseniy M. Belov; Alexander R. Ivanov; Barry L. Karger,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5b03218,https://openalex.org/W2233468065
2015,High Resolution Parallel Reaction Monitoring with Electron Transfer Dissociation for Middle-Down Proteomics,"Michael J. Sweredoski, Annie Moradian, Matthias Raedle et al. (n=5)",Michael J. Sweredoski; Annie Moradian; Matthias Raedle; Catarina Franco; Sonja Hess,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5b01542,https://openalex.org/W1856317036
2015,Functional Proteomics of Regulatory and Epigenetic Signaling in Normal and Malignant Hematopoiesis,"Paolo Cifani, Mojdeh Shakiba, Fiona C. Brown et al. (n=6)",Paolo Cifani; Mojdeh Shakiba; Fiona C. Brown; Avantika Dhabaria; Daniel E. Bauer; Alex Kentsis,Blood,https://doi.org/10.1182/blood.v126.23.4972.4972,https://openalex.org/W2569366229
2015,Development of mass spectrometry imaging methods for the analysis of intact proteins in mouse pancreas tissues by MALDI-TOF-MS and MALDI-FTICR-MS,"Isabella Piga, Clara Esteve, Simone Nicolardi et al. (n=8)",Isabella Piga; Clara Esteve; Simone Nicolardi; Bram Heijs; Laura Giusti; Piero Marchetti; Antonio Lucacchini; Liam A. McDonnell,BOA (University of Milano-Bicocca),,https://openalex.org/W3146927181
2015,Abstract 1841: Enrichment of IGF1R-AKT-mTOR pathway proteins using immunoprecipitation and proteomic analysis by mass spectrometry,"Suzanne M. Smith, Bhavin Patel, Ryan Bomgarden et al. (n=6)",Suzanne M. Smith; Bhavin Patel; Ryan Bomgarden; Kay Opperman; John C. Rogers; Barbara Kaboord,Cancer Research,https://doi.org/10.1158/1538-7445.am2015-1841,https://openalex.org/W2333310302
2015,IDM: a data management system for high-throughput proteomics,"Cristiana Labella, Giuliana Bianco, Patrizia Falabella et al. (n=12)",Cristiana Labella; Giuliana Bianco; Patrizia Falabella; Raffaella Pascale; Simona Laurino; Gerarda Grossi; Giansalvatore Mecca; Donatello Santoro; Enzo Veltri; Basem Kanawati; Philippe Schmitt Kopplin; Heiko Vogel,CINECA IRIS Institutional Research Information System (University of Basilicata),,https://openalex.org/W2613641992
2015,Abstract 268: Myofilament Tyrosine Phosphorylation by Src Kinase is upregulated in ErbB2 Transgenic Mice,"Mingguo Xu, Genaro A. Ramirez‐Correa, Zongming Fu et al. (n=7)",Mingguo Xu; Genaro A. Ramirez‐Correa; Zongming Fu; Polina Sysa Shah; Frances Belmonte; Kathleen Gabrielson; Anne M. Murphy,Circulation Research,https://doi.org/10.1161/res.117.suppl_1.268,https://openalex.org/W2756955451
2015,Comparative proteomic network signatures in seminal plasma of infertile men as a function of reactive oxygen species,"Ashok Agarwal, Ahmet Ayaz, Luna Samanta et al. (n=7)",Ashok Agarwal; Ahmet Ayaz; Luna Samanta; Rakesh Sharma; Mourad Assidi; Adel Abuzenadah; Edmund Sabanegh,Clinical Proteomics,https://doi.org/10.1186/s12014-015-9094-5,https://openalex.org/W2169566698
2015,Quantitative Bottom-Up and Top-Down LC/FT-ICR MS for Multisite Phosphoproteins and Natural Product Biosynthetic Pathways.,Wendi A. Hale,Wendi A. Hale,Deep Blue (University of Michigan),,https://openalex.org/W3139844966
