year,title,authors_short,all_authors,journal,doi,subdisciplines,n_subdisciplines
2001,Electrospray Ionization Fourier Transform Ion Cyclotron Resonance Mass Spectrometry of Dissolved Organic Phosphorus Species in a Treatment Wetland after Selective Isolation and Concentration,"Jennifer M. Llewelyn, William M. Landing, Alan G. Marshall et al. (n=4)",Jennifer M. Llewelyn; William M. Landing; Alan G. Marshall; William Cooper,Analytical Chemistry,https://doi.org/10.1021/ac010909f,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; marine; methods_instrumentation; wetland_peatland,6
2001,High-Resolution Fourier Transform Ion Cyclotron Resonance Mass Spectrometry of Humic and Fulvic Acids:  Improvements and Comparisons,"Elizabeth B. Kujawinski, Patrick G. Hatcher, Michael A. Freitas",Elizabeth B. Kujawinski; Patrick G. Hatcher; Michael A. Freitas,Analytical Chemistry,https://doi.org/10.1021/ac0108313,biogeochem_carbon; freshwater_river; methods_instrumentation,3
2001,A letter from West Sussex,Martin White,Martin White,International Journal of Information Management,https://doi.org/10.1016/s0268-4012(00)00052-9,groundwater; marine; sediment_porewater,3
2003,Preparation of microporous activated carbon from coconut shells without activating agents,"Wei Su, Li Zhou, Yaping Zhou",Wei Su; Li Zhou; Yaping Zhou,Carbon,https://doi.org/10.1016/s0008-6223(03)00003-4,wastewater_drinking,1
2003,Ecological aspects of dissolved organic matter in soils,"Karsten Kalbitz, Klaus Kaiser",Karsten Kalbitz; Klaus Kaiser,Geoderma,https://doi.org/10.1016/s0016-7061(02)00359-2,biogeochem_carbon; estuary_coastal; marine; soil_terrestrial,4
2004,Organic phosphorus speciation in natural waters by mass spectrometry.,"William Cooper, Jennifer M. Llewelyn, Genevieve Bennett et al. (n=5)",William Cooper; Jennifer M. Llewelyn; Genevieve Bennett; Alexandra C. Stenson; Vincent J. M. Salters,CABI Publishing eBooks,https://doi.org/10.1079/9780851998220.0045,biogeochem_carbon; methods_instrumentation; soil_terrestrial; wetland_peatland,4
2004,Establishing a molecular evidence for the outwelling of dissolved organic matter from mangroves,"Thorsten Dittmar, Boris Koch, Norbert Hertkorn et al. (n=6)",Thorsten Dittmar; Boris Koch; Norbert Hertkorn; Kenia Whitehead; William Cooper; Gerhard Kattner,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; estuary_coastal; marine; sediment_porewater; soil_terrestrial; wetland_peatland,6
2004,Characterization of dissolved organic matter by ultrahigh resolution Electrospray-Ionisation Fourier-Transform Ion-Cyclotron-Resonance-Mass-Spectrometry,Boris Koch,Boris Koch,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon,1
2004,Probing molecular-level transformations of dissolved organic matter: insights on photochemical degradation and protozoan modification of DOM from electrospray ionization Fourier transform ion cyclotron resonance mass spectrometry,"Elizabeth B. Kujawinski, Rossana Del Vecchio, Neil V. Blough et al. (n=5)",Elizabeth B. Kujawinski; Rossana Del Vecchio; Neil V. Blough; Geoffrey C. Klein; Alan G. Marshall,Marine Chemistry,https://doi.org/10.1016/j.marchem.2004.06.038,biogeochem_carbon; estuary_coastal; marine; methods_instrumentation,4
2004,Hydrogen-deficient molecules in natural riverine water samples—evidence for the existence of black carbon in DOM,"Sunghwan Kim, Louis A. Kaplan, Ronald Benner et al. (n=4)",Sunghwan Kim; Louis A. Kaplan; Ronald Benner; Patrick G. Hatcher,Marine Chemistry,https://doi.org/10.1016/j.marchem.2004.06.042,atmosphere_aerosol; biochar_black_carbon; biogeochem_carbon; groundwater; methods_instrumentation,5
2005,(Table 1) Salinity and dissolved organic carbon concentration of marine water (ANT-XIX/2) and mangrove porewater (Brazil),"Boris Koch, Matthias Witt, Ralph Engbrodt et al. (n=5)",Boris Koch; Matthias Witt; Ralph Engbrodt; Thorsten Dittmar; Gerhard Kattner,Figshare,https://doi.org/10.1594/pangaea.848469,biogeochem_carbon; estuary_coastal; groundwater; marine; methods_instrumentation; microbial_coupling; sediment_porewater,7
2005,Molecular formulae of marine and terrigenous dissolved organic matter detected by electrospray ionization Fourier transform ion cyclotron resonance mass spectrometry,"Boris Koch, Matthias Witt, Ralph Engbrodt et al. (n=5)",Boris Koch; Matthias Witt; Ralph Engbrodt; Thorsten Dittmar; Gerhard Kattner,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2005.02.027,biogeochem_carbon; estuary_coastal; marine; methods_instrumentation; microbial_coupling; sediment_porewater,6
2005,Molecular formulae of refractory marine and terrigenous dissolved organic matter detected by ESI FT-ICR-MS,"Boris Koch, Matthias Witt, Ralph Engbrodt et al. (n=5)",Boris Koch; Matthias Witt; Ralph Engbrodt; T. Dittmar; Gerhard Kattner,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; estuary_coastal; marine; sediment_porewater,4
2005,Economic Transformations: General Purpose Technologies and Long Term Economic Growth,"Richard G. Lipsey, Kenneth I Carlaw, Clifford T Bekar",Richard G. Lipsey; Kenneth I Carlaw; Clifford T Bekar,Medical Entomology and Zoology,https://doi.org/10.1016/j.envpol.2018.02.001,biogeochem_carbon; freshwater_river; methods_instrumentation,3
2005,Mass spectrometry of natural organic phosphorus,"William E. Cooper, Jennifer M. Llewelyn, G BENNETT et al. (n=4)",William E. Cooper; Jennifer M. Llewelyn; G BENNETT; Vincent J. M. Salters,Talanta,https://doi.org/10.1016/j.talanta.2004.12.028,biogeochem_carbon; soil_terrestrial,2
2006,Molecular Characterization and Reactivity of Dissolved Organic Matter by High Resolution Nanospray Ionization Fourier Transform-Ion Cyclotron Resonance Mass Spectrometry (FTICR-MS),"Rachel L. Sleighter, S. A. Hatcher, Patrick G. Hatcher",Rachel L. Sleighter; S. A. Hatcher; Patrick G. Hatcher,AGUFM,,biogeochem_carbon; methods_instrumentation,2
2006,Fulvic Acids as Transition State of Organic Matter:  Indications from High Resolution Mass Spectrometry,"Thorsten Reemtsma, Anja These, Andreas Springer et al. (n=4)",Thorsten Reemtsma; Anja These; Andreas Springer; Michael Linscheid,Environmental Science & Technology,https://doi.org/10.1021/es060318c,biogeochem_carbon; estuary_coastal; marine; methods_instrumentation,4
2006,Characterization of a major refractory component of marine dissolved organic matter,"Norbert Hertkorn, Ronald Benner, Moritz Frommberger et al. (n=8)",Norbert Hertkorn; Ronald Benner; Moritz Frommberger; Philippe Schmitt‐Kopplin; Matthias Witt; Karl Kaiser; A. Kettrup; John I. Hedges,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2006.03.021,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; marine,4
2006,Modification of terrestrial dissolved organic matter in tropical coastal waters,"Gerhard Kattner, Boris Koch, T. Dittmar et al. (n=5)",Gerhard Kattner; Boris Koch; T. Dittmar; Matthias Witt; Norbert Hertkorn,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; estuary_coastal; marine; microbial_coupling; soil_terrestrial,5
2006,Biodegradable dissolved organic matter in a temperate and a tropical stream determined from ultra-high resolution mass spectrometry,"Sunghwan Kim, Louis A. Kaplan, Patrick G. Hatcher",Sunghwan Kim; Louis A. Kaplan; Patrick G. Hatcher,Limnology and Oceanography,https://doi.org/10.4319/lo.2006.51.2.1054,atmosphere_aerosol; biochar_black_carbon; biogeochem_carbon; estuary_coastal; freshwater_river; marine; methods_instrumentation; microbial_coupling,8
2006,Molecular characterization of dissolved organic matter in a North Brazilian mangrove porewater and mangrove-fringed estuaries by ultrahigh resolution Fourier Transform-Ion Cyclotron Resonance mass spectrometry and excitation/emission spectroscopy,"Lori Beth Tremblay, Thorsten Dittmar, Alan G. Marshall et al. (n=7)",Lori Beth Tremblay; Thorsten Dittmar; Alan G. Marshall; William J. Cooper; William J. Cooper; William T. Cooper; William T. Cooper,Marine Chemistry,https://doi.org/10.1016/j.marchem.2006.12.015,biogeochem_carbon; estuary_coastal; marine; methods_instrumentation; microbial_coupling; sediment_porewater,6
2006,Direct molecular evidence for the degradation and mobility of black carbon in soils from ultrahigh-resolution mass spectral analysis of dissolved organic matter from a fire-impacted forest soil,"William C. Hockaday, Amanda M. Grannas, Sunghwan Kim et al. (n=4)",William C. Hockaday; Amanda M. Grannas; Sunghwan Kim; Patrick G. Hatcher,Organic Geochemistry,https://doi.org/10.1016/j.orggeochem.2005.11.003,biochar_black_carbon; biogeochem_carbon; microbial_coupling; soil_terrestrial,4
2006,"Natur im Labor. Themenschwerpunkt in Philosophia Naturalis Bd. 43, Heft 1-2.","Gregor Schiemann, Kristian Köchy",Gregor Schiemann; Kristian Köchy,Water Research,https://doi.org/10.1016/j.watres.2022.118196,biogeochem_carbon; estuary_coastal; freshwater_river; wetland_peatland,4
2007,High-precision frequency measurements: indispensable tools at the core of the molecular-level analysis of complex systems,"Norbert Hertkorn, C. RUECKER, Markus Meringer et al. (n=8)",Norbert Hertkorn; C. RUECKER; Markus Meringer; Ralf Gugisch; Moritz Frommberger; E. Michael Perdue; Matthias Witt; Philippe Schmitt‐Kopplin,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-007-1577-4,atmosphere_aerosol; biogeochem_carbon; microbial_coupling; soil_terrestrial,4
2007,Fundamentals of Molecular Formula Assignment to Ultrahigh Resolution Mass Data of Natural Organic Matter,"Boris Koch, Thorsten Dittmar, Matthias Witt et al. (n=4)",Boris Koch; Thorsten Dittmar; Matthias Witt; Gerhard Kattner,Analytical Chemistry,https://doi.org/10.1021/ac061949s,biogeochem_carbon; methods_instrumentation; petroleum_fossil,3
2007,Resolving unresolved complex mixtures: Molecular characteristics of natural organic matter determined by FT-ICR-MS,Boris Koch,Boris Koch,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon,1
2007,The application of electrospray ionization coupled to ultrahigh resolution mass spectrometry for the molecular characterization of natural organic matter,"Rachel L. Sleighter, Patrick G. Hatcher",Rachel L. Sleighter; Patrick G. Hatcher,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.1221,biogeochem_carbon; methods_instrumentation; sediment_porewater; soil_terrestrial,4
2007,Isolation of Melanin Biosynthesis Inhibitory Compounds from the Roots of Asarum sieboldii,"Eun-Ho Choi, Jung-Hye Choi, J.G. Lee et al. (n=9)",Eun-Ho Choi; Jung-Hye Choi; J.G. Lee; Jae-Sub Oh; D.C. Kim; H.S. Lee; Jong-Keun Son; S.A. Ryang; J.A. Kim,Korean Journal of Pharmacognosy,https://doi.org/10.1021/acs.est.3c01157,biogeochem_carbon; wastewater_drinking,2
2007,Humic Substances: Nature's Most Versatile Materials,"Elham A. Ghabbour, Geoffrey F. Davies",Elham A. Ghabbour; Geoffrey F. Davies,Medical Entomology and Zoology,,biogeochem_carbon; freshwater_river; groundwater; soil_terrestrial; wetland_peatland,5
2008,Characterization of the Effects of Microbial Processing in Gulf of Mexico Coastal Sands on the Composition of Dissolved Organic Matter Using Ultrahigh Resolution Mass Spectrometry,"Juliana D’Andrilli, David C. Podgorski, Cédric Magen et al. (n=6)",Juliana D’Andrilli; David C. Podgorski; Cédric Magen; Markus Huettel; Joel E. Kostka; William Cooper,AGU Fall Meeting Abstracts,,biogeochem_carbon; estuary_coastal; freshwater_lake; marine; microbial_coupling,5
2008,Effects of Biomass Type and Combustion Conditions on the Bulk and Molecular Properties of Biochar-Derived Dissolved Organic Matter as Determined by Ultrahigh Resolution Mass Spectrometry,"William Cooper, J. D'Andrili, K. Ostrowicki et al. (n=4)",William Cooper; J. D'Andrili; K. Ostrowicki; Andrew R. Zimmerman,AGU Fall Meeting Abstracts,,biochar_black_carbon; biogeochem_carbon; petroleum_fossil,3
2008,Natural Organic Matter and the Event Horizon of Mass Spectrometry,"Norbert Hertkorn, Moritz Frommberger, Matthias Witt et al. (n=6)",Norbert Hertkorn; Moritz Frommberger; Matthias Witt; Boris Koch; Philippe Schmitt‐Kopplin; E. Michael Perdue,Analytical Chemistry,https://doi.org/10.1021/ac800464g,biogeochem_carbon; estuary_coastal; freshwater_river; marine; methods_instrumentation; sediment_porewater; soil_terrestrial,7
2008,Devenir sportif de haut niveau : approche sociologique de la formation et de l'expression de l'excellence athlétique,Lucie Forté,Lucie Forté,Chemosphere,https://doi.org/10.1016/j.chemosphere.2016.03.090,biogeochem_carbon; microbial_coupling; wastewater_drinking,3
2008,"Molecular and Structural Characterization of Dissolved Organic Matter from the Deep Ocean by FTICR-MS, Including Hydrophilic Nitrogenous Organic Molecules","Thorsten Reemtsma, Anja These, Michael Linscheid et al. (n=5)",Thorsten Reemtsma; Anja These; Michael Linscheid; Jerry A. Leenheer; Alejandro Spitzy,Environmental Science & Technology,https://doi.org/10.1021/es7021413,biogeochem_carbon; estuary_coastal; marine,3
2008,Radiocarbon evidence for the importance of surface vegetation on fermentation and methanogenesis in contrasting types of boreal peatlands,"Jeffrey P. Chanton, Paul H. Glaser, L. S. Chasar et al. (n=8)",Jeffrey P. Chanton; Paul H. Glaser; L. S. Chasar; David J. Burdige; Mark E. Hines; Donald I. Siegel; Lori Beth Tremblay; William Cooper,Global Biogeochemical Cycles,https://doi.org/10.1029/2008gb003274,biogeochem_carbon; cryosphere; estuary_coastal; sediment_porewater; wetland_peatland,5
2008,Characterization of dissolved organic matter: major advances by combining reversed-phase liquid chromatography and FT-ICR-MS,"Boris Koch, Kai‐Uwe Ludwichowski, Gerhard Kattner et al. (n=5)",Boris Koch; Kai‐Uwe Ludwichowski; Gerhard Kattner; T. Dittmar; Matthias Witt,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon,1
2008,Molecular variation in dissolved organic matter in sedimentary pore waters at continental shelf systems,"Fred Schmidt, Boris Koch, Marcus Elvert et al. (n=4)",Fred Schmidt; Boris Koch; Marcus Elvert; Kai‐Uwe Hinrichs,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; estuary_coastal; freshwater_lake; freshwater_river; marine; microbial_coupling; sediment_porewater; soil_terrestrial,8
2008,Characterization of dissolved organic matter in marine pore waters by Fourier transform ion cyclotron resonance mass spectrometry,"Florian M. Schmidt, Boris Koch, Marcus Elvert et al. (n=6)",Florian M. Schmidt; Boris Koch; Marcus Elvert; Matthias Witt; K. Haag; Kai‐Uwe Hinrichs,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; marine,2
2008,Naturally present fatty acids as internal calibrants for Fourier transform mass spectra of dissolved organic matter,"Rachel L. Sleighter, Georgina A. McKee, Zhanfei Liu et al. (n=4)",Rachel L. Sleighter; Georgina A. McKee; Zhanfei Liu; Patrick G. Hatcher,Limnology and Oceanography Methods,https://doi.org/10.4319/lom.2008.6.246,biogeochem_carbon; estuary_coastal; marine,3
2008,Advanced characterization of marine dissolved organic matter by combining reversed-phase liquid chromatography and FT-ICR-MS,"Boris Koch, Kai‐Uwe Ludwichowski, Gerhard Kattner et al. (n=5)",Boris Koch; Kai‐Uwe Ludwichowski; Gerhard Kattner; Thorsten Dittmar; Matthias Witt,Marine Chemistry,https://doi.org/10.1016/j.marchem.2008.05.008,biogeochem_carbon; estuary_coastal; marine,3
2008,Molecular characterization of dissolved organic matter (DOM) along a river to ocean transect of the lower Chesapeake Bay by ultrahigh resolution electrospray ionization Fourier transform ion cyclotron resonance mass spectrometry,"Rachel L. Sleighter, Patrick G. Hatcher",Rachel L. Sleighter; Patrick G. Hatcher,Marine Chemistry,https://doi.org/10.1016/j.marchem.2008.04.008,biogeochem_carbon; estuary_coastal; freshwater_river; marine; methods_instrumentation,5
2008,Direct Fourier transform mass spectral analysis of natural waters with low dissolved organic matter,"Rachel L. Sleighter, Georgina A. McKee, Patrick G. Hatcher",Rachel L. Sleighter; Georgina A. McKee; Patrick G. Hatcher,Organic Geochemistry,https://doi.org/10.1016/j.orggeochem.2008.09.012,biogeochem_carbon; estuary_coastal; marine; methods_instrumentation,4
2009,Molecular level studies on the distribution and fate of organic matter at continental margins,Frauke Schmidt,Frauke Schmidt,,,biogeochem_carbon; freshwater_lake; marine; sediment_porewater; soil_terrestrial,5
2009,Molecular Characterization of Marine and Terrestrial Dissolved Organic Matter Using Ultrahigh Resolution Mass Spectrometry,Juliana D’Andrilli,Juliana D’Andrilli,,,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; marine; soil_terrestrial,5
2009,Tools for Studying Biogeochemical Connectivity Among Tropical Coastal Ecosystems,"Thorsten Dittmar, Boris Koch, Rudolf Jaffé",Thorsten Dittmar; Boris Koch; Rudolf Jaffé,,https://doi.org/10.1007/978-90-481-2406-0_12,biogeochem_carbon; estuary_coastal; marine; microbial_coupling,4
2009,The Characterization of Dissolved Organic Nitrogen in Wetlands by Ultrahigh Resolution Mass Spectrometry,"David C. Podgorski, D. Osborne, William Cooper",David C. Podgorski; D. Osborne; William Cooper,AGU Fall Meeting Abstracts,,biogeochem_carbon; wastewater_drinking; wetland_peatland,3
2009,Automated microextraction sample preparation coupled on-line to FT-ICR-MS: application to desalting and concentration of river and marine dissolved organic matter,"Gabriel Morales‐Cid, István Gebefügi, Basem Kanawati et al. (n=7)",Gabriel Morales‐Cid; István Gebefügi; Basem Kanawati; Mourad Harir; Norbert Hertkorn; Ramon Rosselló‐Móra; Philippe Schmitt‐Kopplin,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-009-3025-0,biogeochem_carbon; freshwater_river; marine,3
2009,Fragmentation Studies of Fulvic Acids Using Collision Induced Dissociation Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,"Matthias Witt, Jens Fuchser, Boris Koch",Matthias Witt; Jens Fuchser; Boris Koch,Analytical Chemistry,https://doi.org/10.1021/ac802624s,biogeochem_carbon; estuary_coastal; freshwater_river; marine; methods_instrumentation,5
2009,Total Mass Difference Statistics Algorithm: A New Approach to Identification of High-Mass Building Blocks in Electrospray Ionization Fourier Transform Ion Cyclotron Mass Spectrometry Data of Natural Organic Matter,"E. V. Kunenkov, А. С. Кононихин, Irina V. Perminova et al. (n=9)",E. V. Kunenkov; А. С. Кононихин; Irina V. Perminova; Norbert Hertkorn; Andras Gaspar; Philippe Schmitt‐Kopplin; Igor Popov; Andrew V. Garmash; Е. Н. Николаев,Analytical Chemistry,https://doi.org/10.1021/ac901476u,biogeochem_carbon; freshwater_river; methods_instrumentation,3
2009,Organized Oral Session 44. Advances in Biochemical Methods for Studying Organic Matter Dynamics in an Ecological Context,"E. Marín-Spiotta, Daniela Cusack",E. Marín-Spiotta; Daniela Cusack,Bulletin of the Ecological Society of America,https://doi.org/10.1890/0012-9623-91.1.94,biochar_black_carbon; biogeochem_carbon; disturbance_anthropogenic; methods_instrumentation; microbial_coupling; sediment_porewater; soil_terrestrial; wetland_peatland,8
2009,Molecular Characterization of Marine and Terrestrial Dissolved Organic Matter Using Ultrahigh Resolution Mass Spectrometry,,,DigiNole (Florida State University),,atmosphere_aerosol; biogeochem_carbon; cryosphere; estuary_coastal; freshwater_lake; marine; methods_instrumentation; microbial_coupling; sediment_porewater; soil_terrestrial; wetland_peatland,11
2009,Photochemically Induced Changes in Dissolved Organic Matter Identified by Ultrahigh Resolution Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,"Michael Gonsior, Barrie M. Peake, William Cooper et al. (n=6)",Michael Gonsior; Barrie M. Peake; William Cooper; David C. Podgorski; Juliana D’Andrilli; William J. Cooper,Environmental Science & Technology,https://doi.org/10.1021/es8022804,biogeochem_carbon; estuary_coastal; freshwater_river; marine; methods_instrumentation,5
2009,Molecular characterization of dissolved organic matter in pore water of continental shelf sediments,"Frauke Schmidt, Marcus Elvert, Boris Koch et al. (n=5)",Frauke Schmidt; Marcus Elvert; Boris Koch; Matthias Witt; Kai‐Uwe Hinrichs,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2009.03.008,biogeochem_carbon; estuary_coastal; marine; sediment_porewater,4
2009,Chemical and spectroscopic characterization of marine dissolved organic matter isolated using coupled reverse osmosis–electrodialysis,"J.‐F. Koprivnjak, Peter H. Pfromm, Ellery D. Ingall et al. (n=9)",J.‐F. Koprivnjak; Peter H. Pfromm; Ellery D. Ingall; Th. Vetter; Philippe Schmitt‐Kopplin; Norbert Hertkorn; Moritz Frommberger; Heike Knicker; E. Michael Perdue,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2009.04.010,biogeochem_carbon; estuary_coastal; marine; wastewater_drinking,4
2009,Identification of possible source markers in marine dissolved organic matter using ultrahigh resolution mass spectrometry,"Elizabeth B. Kujawinski, Krista Longnecker, Neil V. Blough et al. (n=7)",Elizabeth B. Kujawinski; Krista Longnecker; Neil V. Blough; Rossana Del Vecchio; Liam Finlay; Joshua B. Kitner; Stephen J. Giovannoni,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2009.04.033,biogeochem_carbon; estuary_coastal; marine; microbial_coupling,4
2009,Molecular level investigation of esterification and proton exchange reactions in extracted marine dissolved organic matter using FT-ICR-MS,"Ruth Flerus, Boris Koch, M. Witt et al. (n=4)",Ruth Flerus; Boris Koch; M. Witt; Gerhard Kattner,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; marine,2
2009,Molecular characterization of sea-surface microlayers in the Adriatic using Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,"Boris Koch, Matthias Witt, Blaženka Gašparović et al. (n=5)",Boris Koch; Matthias Witt; Blaženka Gašparović; Sanja Frka; Gerhard Kattner,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; marine; methods_instrumentation,5
2009,Molecular-level structure analysis of highly complex aquatic natural organic matter and sea- surface microlayers using FT-ICR-MS/MS,"Boris Koch, M. Witt, Blaženka Gašparović et al. (n=5)",Boris Koch; M. Witt; Blaženka Gašparović; Sanja Frka; Gerhard Kattner,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; estuary_coastal; freshwater_river; marine,4
2009,Natural Organic Matter and the Event Horizon of Mass Spectrometry,"Norbert Hertkorn, Philippe Schmitt‐Kopplin, E. Michael Perdue",Norbert Hertkorn; Philippe Schmitt‐Kopplin; E. Michael Perdue,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),https://doi.org/10.1021/ac800464g.s001,biogeochem_carbon; freshwater_river; marine; methods_instrumentation; sediment_porewater; soil_terrestrial,6
2009,Source variability and transformation of dissolved organic matter in sediment pore waters determined by Fourier transform ion cyclotron resonance mass spectrometry,"Florian M. Schmidt, Boris Koch, Marcus Elvert et al. (n=5)",Florian M. Schmidt; Boris Koch; Marcus Elvert; Matthias Witt; Kai‐Uwe Hinrichs,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; sediment_porewater,2
2009,Determination of molecular formulas of natural organic matter molecules by (ultra-) high-resolution mass spectrometry,Thorsten Reemtsma,Thorsten Reemtsma,Journal of Chromatography A,https://doi.org/10.1016/j.chroma.2009.02.033,biogeochem_carbon; estuary_coastal; marine; methods_instrumentation,4
2009,Electrospray and photoionization mass spectrometry for the characterization of organic matter in natural waters: a qualitative assessment,"William C. Hockaday, Jeremiah M. Purcell, Alan G. Marshall et al. (n=5)",William C. Hockaday; Jeremiah M. Purcell; Alan G. Marshall; Jeff Baldock; Patrick G. Hatcher,Limnology and Oceanography Methods,https://doi.org/10.4319/lom.2009.7.81,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; freshwater_lake; marine; methods_instrumentation,6
2009,Export of Terrestrial Dissolved Organic Matter Along a River to Ocean Transect of the Lower Chesapeake Bay Investigated by Advanced Analytical Techniques,Rachel L. Sleighter,Rachel L. Sleighter,ODU Digital Commons (Old Dominion University),https://doi.org/10.25777/gwwz-wb55,biogeochem_carbon; estuary_coastal; freshwater_river; marine; methods_instrumentation; sediment_porewater; soil_terrestrial,7
2009,Combined utilization of ion mobility and ultra‐high‐resolution mass spectrometry to identify multiply charged constituents in natural organic matter,"Andras Gaspar, E. V. Kunenkov, Richard Lock et al. (n=6)",Andras Gaspar; E. V. Kunenkov; Richard Lock; Michael Desor; Irina V. Perminova; Philippe Schmitt‐Kopplin,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3924,biogeochem_carbon,1
2009,"Insights into the molecular level composition, sources, and formation mechanisms of dissolved organic matter in aerolsols and precipitation",Katye E. Altieri,Katye E. Altieri,Rutgers University Community Repository (Rutgers University),https://doi.org/10.7282/t3n016rq,atmosphere_aerosol; biogeochem_carbon; methods_instrumentation,3
2010,Physical heterogeneity increases biofilm resource use and its molecular diversity in stream mesocosms.,"Gabriel Singer, Katharina Besemer, Philippe Schmitt‐Kopplin et al. (n=5)",Gabriel Singer; Katharina Besemer; Philippe Schmitt‐Kopplin; Iris Hödl; Tom J. Battin,,,biogeochem_carbon; freshwater_river; microbial_coupling,3
2010,Analysis of the Unresolved Organic Fraction in Atmospheric Aerosols with Ultrahigh-Resolution Mass Spectrometry and Nuclear Magnetic Resonance Spectroscopy: Organosulfates As Photochemical Smog Constituents,"Philippe Schmitt‐Kopplin, András Gelencsér, Ewa Dąbek-Złotorzyńska et al. (n=8)",Philippe Schmitt‐Kopplin; András Gelencsér; Ewa Dąbek-Złotorzyńska; Gyula Kiss; Norbert Hertkorn; Mourad Harir; Hong Yang; István Gebefügi,Analytical Chemistry,https://doi.org/10.1021/ac101444r,atmosphere_aerosol; biogeochem_carbon; soil_terrestrial,3
2010,Ecological consequences of bacterioplankton lifestyles: changes in concepts are needed,Hans‐Peter Grossart,Hans‐Peter Grossart,Environmental Microbiology Reports,https://doi.org/10.1111/j.1758-2229.2010.00179.x,biogeochem_carbon; microbial_coupling,2
2010,Multivariate Statistical Approaches for the Characterization of Dissolved Organic Matter Analyzed by Ultrahigh Resolution Mass Spectrometry,"Rachel L. Sleighter, Zhanfei Liu, Jianhong Xue et al. (n=4)",Rachel L. Sleighter; Zhanfei Liu; Jianhong Xue; Patrick G. Hatcher,Environmental Science & Technology,https://doi.org/10.1021/es1002204,biogeochem_carbon; estuary_coastal; marine; soil_terrestrial,4
2010,Molecular characterization of dissolved organic matter associated with the Greenland ice sheet,"Maya P. Bhatia, Sarah B. Das, Krista Longnecker et al. (n=5)",Maya P. Bhatia; Sarah B. Das; Krista Longnecker; Matthew A. Charette; Elizabeth B. Kujawinski,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2010.03.035,biogeochem_carbon; cryosphere; marine,3
2010,Inorganics in Organics: Tracking down the Intrinsic Equilibriums between Organic Molecules and Trace Elements in Oceanic Waters,"Oliver J. Lechtenfeld, Boris Koch, Matthias Witt et al. (n=4)",Oliver J. Lechtenfeld; Boris Koch; Matthias Witt; Gerhard Kattner,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; estuary_coastal; marine,3
2010,The carbon <i>versus</i> mass diagram to visualize and exploit FTICR‐MS data of natural organic matter,Thorsten Reemtsma,Thorsten Reemtsma,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.1722,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; marine; petroleum_fossil; wastewater_drinking,6
